algorithm,n,block,median_algorithm_ms,q1_algorithm_ms,q3_algorithm_ms,median_wall_ms
CPU,256,0,9.99999975e-05,9.99999975e-05,9.99999975e-05,0.0001
CPU,1024,0,0.000300000014,0.000199999995,0.000300000014,0.0003
CPU,10000,0,0.00240000011,0.00240000011,0.00249999994,0.0025
CPU,65536,0,0.0168999992,0.0168999992,0.0171000008,0.017
CPU,262144,0,0.0627999976,0.0627999976,0.063000001,0.0629
CPU,1000000,0,0.335900009,0.323900014,0.379000008,0.336
CPU,1048576,0,0.298000008,0.296600014,0.305400014,0.298
CPU,4194304,0,2.00189996,1.89810002,2.71930003,2.0022
CPU,16777216,0,8.12119961,7.48979998,9.94610023,8.1216
CPU direct,256,0,0.000199999995,0.000199999995,0.000199999995,0.0002
CPU direct,1024,0,0.000600000028,0.000600000028,0.000600000028,0.0006
CPU direct,10000,0,0.00620000018,0.00579999993,0.0074,0.0063
CPU direct,65536,0,0.121699996,0.120700002,0.1228,0.1217
CPU direct,262144,0,0.503000021,0.501999974,0.505500019,0.503
CPU direct,1000000,0,1.98049998,1.95940006,1.99220002,1.9806
CPU direct,1048576,0,1.96029997,1.93239999,2.00169992,1.9604
CPU direct,4194304,0,8.25689983,8.20160007,8.35429955,8.2573
CPU direct,16777216,0,33.290699,32.9519005,39.7686996,33.2913
CPU scan,256,0,0.000199999995,0.000199999995,0.000300000014,0.0006
CPU scan,1024,0,0.00079999998,0.00079999998,0.00079999998,0.0011
CPU scan,10000,0,0.0140000004,0.0133999996,0.0148999998,0.015
CPU scan,65536,0,0.151600003,0.150700003,0.152500004,0.1592
CPU scan,262144,0,0.658999979,0.651300013,0.722800016,1.2111
CPU scan,1000000,0,2.59770012,2.54789996,2.69330001,4.3506
CPU scan,1048576,0,2.76740003,2.72420001,2.93350005,4.5917
CPU scan,4194304,0,13.1062002,12.5334997,15.2819996,20.8482
CPU scan,16777216,0,49.7596016,48.8992996,52.5528984,79.0266
Efficient,256,64,0.0870399997,0.0828159973,0.114688002,0.4027
Efficient,1024,64,0.0911360011,0.0890880004,0.141151994,0.4171
Efficient,10000,64,0.159743994,0.158720002,0.160768002,0.48
Efficient,65536,64,0.231455997,0.218815997,0.252256006,0.754
Efficient,262144,64,0.326207995,0.300224006,0.371392012,1.2846
Efficient,1000000,64,0.982559979,0.978240013,0.993983984,2.9007
Efficient,1048576,64,0.981504023,0.977792025,0.984799981,3.0483
Efficient,4194304,64,3.51833606,3.50550389,3.57168007,10.2314
