kind,algorithm,n,block,repeat,algorithm_ms,wall_ms
scan,Efficient,10000,512,0,0.186368003,0.5269
scan,Efficient,10000,512,1,0.187391996,0.5036
scan,Efficient,10000,512,2,0.138239995,0.4597
scan,Efficient,10000,512,3,0.176128,0.4841
scan,Efficient,10000,512,4,0.186368003,0.6268
scan,Efficient,10000,512,5,0.214016005,0.6472
scan,Efficient,10000,512,6,0.200703993,0.5583
scan,Efficient,10000,512,7,0.181247994,0.5074
scan,Efficient,10000,512,8,0.210943997,0.5179
scan,Efficient,10000,512,9,0.210943997,0.5127
scan,Efficient,10000,512,10,0.174079999,0.4722
scan,Efficient,10000,512,11,0.178176001,0.4879
scan,Efficient,10000,512,12,0.183295995,0.4867
scan,Efficient,10000,512,13,0.168960005,0.4676
scan,Efficient,10000,512,14,0.189439997,0.4892
scan,Efficient,10000,256,0,0.158720002,0.5349
scan,Efficient,10000,256,1,0.177151993,0.5043
scan,Efficient,10000,256,2,0.165887997,0.5104
scan,Efficient,10000,256,3,0.13312,0.4356
scan,Efficient,10000,256,4,0.163839996,0.4734
scan,Efficient,10000,256,5,0.179199994,0.4821
scan,Efficient,10000,256,6,0.182272002,0.4947
scan,Efficient,10000,256,7,0.177151993,0.485
scan,Efficient,10000,256,8,0.177151993,0.4837
scan,Efficient,10000,256,9,0.184320003,0.4915
scan,Efficient,10000,256,10,0.161791995,0.4721
scan,Efficient,10000,256,11,0.162816003,0.4761
scan,Efficient,10000,256,12,0.176128,0.4766
scan,Efficient,10000,256,13,0.191487998,0.497
scan,Efficient,10000,256,14,0.179199994,0.4992
scan,Efficient,10000,128,0,0.168960005,0.5015
scan,Efficient,10000,128,1,0.244736001,0.7741
scan,Efficient,10000,128,2,0.182272002,0.637
scan,Efficient,10000,128,3,0.194560006,0.5701
scan,Efficient,10000,128,4,0.155647993,0.4905
scan,Efficient,10000,128,5,0.162816003,0.4778
scan,Efficient,10000,128,6,0.169983998,0.4934
scan,Efficient,10000,128,7,0.180224001,0.498
scan,Efficient,10000,128,8,0.190464005,0.5017
